taxa	0001.003.1	0001.003.2	0001.003.3	0001.003.4	0001.003.5	0001.003.6	0008.007.3	0008.007.4	0008.007.5	0008.007.6	0018.017.3	0018.017.4	0018.017.5	0018.017.6	0021.023.5	0021.023.6	0021.023.7	0029.043.2	0029.043.3	0029.043.4	0032.033.1	0032.033.2	0032.033.4	0032.033.5	0032.033.6	0036.028.3	0036.028.4	0036.028.5	0036.028.6	0041.030.3	0041.030.4	0044.034.1	0044.034.2	0044.034.3	0044.034.4	0044.034.5	0047.038.3	0047.038.4	0047.038.5	0051.064.5	0051.064.6	0055.051.1	0055.051.2	0055.051.3	0055.051.4	0055.051.5	0055.051.6	0055.051.7	0058.068.1	0058.068.2	0058.068.3	0058.068.4	0061.057.2	0061.057.3	0061.057.4	0067.062.1	0067.062.2	0067.062.3	0067.062.4	0067.062.5	0067.062.6	0068.050.1	0068.050.2	0068.050.3	0068.050.4	0068.050.5	0068.050.6	0079.069.1	0079.069.2	0079.069.3	0079.069.4	0079.069.5	0079.069.6	0079.069.7	0085.075.1	0085.075.2	0085.075.3	0085.075.4	0085.075.5	0085.075.6	0090.080.1	0090.080.2	0090.080.3	0090.080.4	0090.080.5	0090.080.6	0090.080.7	0094.086.1	0094.086.2	0094.086.3	0094.086.5	0094.086.6	0094.086.7	0094.086.8	0095.084.2	0095.084.3	0098.098.1	0098.098.2	0098.098.3	0098.098.4	0100.083.1	0100.083.2	0100.083.3	0100.083.4	0101.088.1	0101.088.2	0101.088.3	0101.088.4	0101.088.5	0101.088.6	0106.082.2	0106.082.3	0121.101.1	0121.101.2	0121.101.3	0123.103.4	0123.103.5	0135.111.2	0135.111.3	0135.111.4	0135.111.5	0135.111.6	0136.112.1	0136.112.2	0136.112.3	0136.112.4	0136.112.5	0136.112.6	0138.113.1	0138.113.2	0138.113.4	0138.113.5	0139.114.1	0139.114.2	0139.114.3	0154.119.2	0154.119.3	0154.119.4	0158.129.1	0158.129.2	0158.129.3	0158.129.4	0158.129.5	0158.129.6	0180.142.1	0180.142.2	0180.142.5	0180.142.6	0180.142.7	0180.142.8	0203.151.1	0203.151.2	0203.151.3	0203.151.4	0218.162.1	0218.162.2	0218.162.3	0218.162.4	0218.162.5	0229.171.1	0229.171.2	0262.198.1	0262.198.2	0275.201.2	0275.201.3	0275.201.4	0275.201.5	0275.201.6	0275.201.7	0275.201.8	0282.202.1	0282.202.2	0303.208.1	0303.208.2	0387.272.1	0387.272.2	0387.272.3	0397.268.1	0397.268.2	0411.296.1	0411.296.2	0411.296.3	0411.296.4	0411.296.5	0411.296.6	0421.295.1	0421.295.2	0421.295.3	0421.295.4	0422.293.1	0422.293.2	0424.282.1	0424.282.2	0424.282.3	0424.282.4	0424.282.5	0424.282.6	0430.289.1	0430.289.2	0430.289.3	0430.289.4	0430.289.5	0434.290.1	0434.290.2	0434.290.3	0434.290.4	0434.290.5	0444.312.1	0444.312.2	0445.323.1	0445.323.2	0445.323.3	0445.323.4	0445.323.5	0446.315.1	0446.315.2	0446.315.3	0446.315.4	0446.315.5	0455.313.1	0455.313.2	0455.313.3	0455.313.4	0455.313.5	0476.335.1	0476.335.2	0476.335.3	0476.335.4	0476.335.5	0484.349.1	0484.349.2	0484.349.3	0484.349.4	0484.349.5	0590.427.3	0590.427.4	0650.470.1	0650.470.2	0650.470.3	0650.470.4	0662.479.2	0662.479.3	0671.486.1	0671.486.2	0671.486.3	0671.486.4	0675.493.1	0675.493.2	0691.499.1	0691.499.2	0691.499.3	0695.498.1	0695.498.2	0707.511.1	0707.511.2	0708.515.1	0708.515.2	0708.515.3	0723.529.1	0723.529.2	0723.529.3	0725.527.1	0725.527.2	0730.536.1	0730.536.2	0730.536.3	0755.549.1	0755.549.2	0760.569.1	0760.569.2	0760.569.3	0775.568.1	0775.568.2	0775.568.3	0788.597.1	0788.597.2	0788.597.3	0825.610.1	0825.610.2	0825.610.3	0825.610.4	0847.616.1	0847.616.2	0847.616.3	0847.616.4	0858.627.1	0858.627.2	0869.631.1	0869.631.2	0880.641.1	0880.641.2	0880.641.3	0959.704.1	0959.704.2	1031.761.1	1031.761.2	1169.852.1	1169.852.2	1184.867.1	1184.867.2	1192.879.1	1192.879.2	1317.970.1	1317.970.2	1416.1052.2	1416.1052.3	1443.1076.2	1443.1076.3	1485.1102.1	1485.1102.2	1510.1125.1	1510.1125.2	1511.1126.1	1511.1126.2	1513.1128.1	1513.1128.2
Lactobacillaceae Lactobacillus iners	3	4998	4991	4999	3803	3736	4954	4911	4241	1425	714	172	4	116	23	646	49	3	36	12	2240	458	345	3475	25	4	2	2	24	4792	7	3330	65	839	210	715	2393	4320	2875	240	3	8	3248	24	2	16	18	4	4855	2762	7	109	27	12	73	271	3962	47	411	1046	245	3831	1982	2967	3029	2363	3367	2	2	5	3	2170	8	1230	3311	21	3117	4677	3880	1007	4884	4980	4736	27	137	139	9	4081	30	4684	4658	4983	3254	4987	2	13	4992	4725	1188	2946	2	4	3	2	57	6	436	351	2586	4623	4989	1508	4	8	248	3	12	64	35	155	823	176	38	196	2253	4	5	44	19	3219	18	2257	4969	2646	2734	81	835	62	63	7	18	5	20	4610	3	4900	227	4453	4	4856	1641	10	8	15	4700	4754	4497	4686	8	3140	24	4991	953	353	466	12	8	143	116	6	2186	45	5	4808	853	35	65	5	60	1140	1369	1567	289	2320	7	1033	966	3283	2289	22	21	1790	4572	4091	3964	17	900	595	5	3107	17	1458	5	226	66	6	3	39	239	11	65	621	231	348	4927	4387	4987	4329	4879	4857	563	35	33	4937	465	4915	4993	4980	4969	32	22	3	5	62	276	200	8	7	487	69	3	20	396	4193	519	3924	4	296	160	324	4030	7	15	4627	3036	4832	4977	4849	3	16	2123	8	2	64	4918	1961	1128	32	5	4	122	0	13	717	482	63	1894	320	4961	4035	616	394	1092	390	25	296	609	10	4794	1144	3815	194	5	3246	4989	4732	1257	18	9	56	3	0	3530	2059	4949	376	311	6	4702	4520	31	36	112	4	4784	3371
Bifidobacteriaceae Gardnerella	3455	2	3	2	0	0	9	6	0	36	1573	741	51	252	338	301	327	140	527	1019	1979	530	2734	262	478	2694	1312	277	246	12	2846	117	1923	2326	1503	910	1693	639	169	112	39	0	2	4	1824	2295	2397	1874	108	1643	456	1760	806	1070	802	2048	30	2692	3908	34	8	1019	429	772	717	905	410	973	1199	501	799	1504	214	1544	686	637	530	65	265	1952	3	10	137	2008	3100	952	161	843	2	29	0	2	33	2	0	0	4	8	8	3	20	92	417	40	1032	1567	1294	1303	1933	0	5	1602	149	356	395	93	0	39	3	1128	133	69	2335	668	1180	1778	1580	1007	180	1550	3	8	3	34	112	2690	1903	943	45	42	5	28	322	4	487	54	24	13	4466	9	2280	1793	1513	1415	4	11	3	9	4935	225	15	2	24	1902	797	2483	2239	2935	3652	3121	17	0	0	5	2077	2505	798	105	1673	2650	2918	3396	1061	2351	4524	0	4	3	1	3	2	0	3	10	874	2667	969	1150	1678	122	2243	2218	813	1955	1241	955	987	29	94	912	782	1264	945	763	16	5	3	650	16	14	3947	462	811	50	1233	5	2	3	3	2098	2890	1213	328	2164	288	1960	170	17	117	12	142	3307	3144	35	1267	5	1329	201	1207	1404	859	2578	2923	15	6	5	0	0	121	1632	826	4339	4382	945	74	1510	1341	1230	4684	3697	887	4966	4068	2197	3746	3534	1705	761	2	15	3160	826	1994	311	333	66	659	20	86	10	6	453	2494	796	5	14	10	8	1420	34	665	1113	133	667	12	2	3008	1645	159	408	6	40	237	2559	10	1386
Lactobacillaceae Lactobacillus non_iners	0	0	1	0	1193	1264	37	78	745	2221	19	5	0	4	2	40	2	1	2	1	57	30	2	162	2	0	0	1	3	195	16	1372	2	35	4	8	10	27	85	3	3	4822	1747	4951	3173	24	351	2	5	80	1	12	1	1	2	16	11	2	16	3565	4726	109	2247	1174	1171	99	461	0	1	0	1	0	3	0	91	0	73	255	122	103	12	9	29	0	2	2	2	49	4952	286	6	13	62	7	1	2650	0	16	0	8	1	0	1	1	1	1	12	9	0	2	3	38	0	3	0	0	8	4806	4961	593	3	0	1	8	12	0	2	1	0	79	4979	0	9	9	0	4	7	3	4894	4788	4946	4958	3	5	1	16	3765	197	0	8	569	1	0	1	207	190	478	278	33	50	4876	2	1	4	44	0	4	2	2	0	2788	4956	4993	7	9	2	1	1	2	259	713	18	12	29	4	3966	4028	1713	2707	4975	4972	14	11	675	11	2	8	6	0	202	3	29	0	10	10	0	0	6	55	0	3	22	1	10	56	600	10	18	78	125	0	5	3	9	12	33	4	12	8	4	6	1	1	3	2	3	0	0	170	7	2	1480	44	501	577	495	288	6	3	6	48	0	0	296	1952	153	4	152	1	2	0	61	246	0	5	10	63	2	3	2	2	11	920	41	81	3	22	2	2	905	103	2	20	4	2	8	66	4	31	3848	1154	4	1	4	3	249	3303	4758	3	1	1	1	13	3	16	4623	5	2	136	65	4957	4872	14	1	88	232
Lachnospiraceae Candidatus_Lachnocurva vaginae_(BVAB1)	1	0	0	0	0	0	1	0	0	57	1727	2702	1924	1442	124	825	988	2695	2195	771	3	1	1	1	0	549	327	780	384	0	2	0	1	0	1	1	3	0	0	880	418	1	1	0	0	500	0	0	1	0	1	0	923	24	2054	1	0	3	2	0	3	2	0	0	0	8	2	2266	786	2864	1489	13	939	1	1	2744	467	0	3	1	0	0	1	192	3	2	692	1	0	0	0	0	0	1	1	2	2	1	0	1	2728	1535	173	2274	488	0	3	1209	0	1	1	0	1340	409	0	0	0	4	1	0	827	288	3	475	0	17	20	1	1495	1	0	403	0	0	0	1	2	0	0	0	12	1	230	0	1	1	2	0	0	2	1	234	1570	558	2	4	1	2	1	98	55	2	2	0	0	0	3	2	2	0	4	0	0	2	2	157	1206	191	180	1	0	0	1014	6	0	0	1	1	2	1	1	1	1	4	1	3	2	2	1635	3	0	48	146	99	762	1450	2	1073	911	1460	962	0	1	1227	0	2	0	0	2	1	65	854	1755	5	0	1	0	0	0	896	1060	2228	1262	1368	1892	0	0	65	431	8	1	2	0	0	27	99	1	0	771	1041	2	0	0	0	0	0	0	0	542	30	4	0	1	658	1	36	0	1208	0	1	107	0	0	0	3	0	0	2188	1	1	0	1074	1	8	1057	1801	1297	1	2	0	1	0	2	2	2	1	2	5	1	1383	2	0	152	835	5	0	2	1	0	3	2	2	2	1	3	0
Veillonellaceae Megasphaera sp_DNF00751	0	0	0	0	0	0	0	0	0	87	642	903	288	1496	491	452	1324	377	172	226	0	0	498	0	439	303	297	303	7	0	0	0	1133	312	1196	654	1	0	1	157	369	0	0	0	0	402	0	0	0	0	0	0	31	2	0	0	0	901	376	0	0	0	0	0	0	24	1	629	205	764	1388	34	395	127	1	483	129	0	0	0	0	0	0	408	337	2	8	0	1	1	0	1	0	0	0	0	0	0	0	1	46	0	4	0	398	1051	1021	778	0	0	0	0	512	1345	513	0	13	1	0	2292	1078	691	0	139	1190	281	960	13	434	0	0	0	0	1828	1360	495	728	1600	0	0	0	0	0	0	7	1	0	0	0	0	0	745	1034	691	1	0	0	0	1	874	27	0	1	0	0	0	0	0	0	0	1	0	0	0	1049	706	859	253	864	0	1	0	0	1	0	0	0	0	1	0	0	0	1	0	1	1315	469	981	962	2	1108	1099	102	537	48	35	3	198	98	0	0	0	0	803	0	1	0	1	1	0	39	103	346	0	0	1	0	0	0	221	390	340	355	837	1747	1819	0	0	422	7	1	1	0	0	6	174	0	0	0	895	0	0	0	0	1	0	0	0	490	22	1472	0	0	647	0	24	0	885	0	0	0	0	0	1	0	0	1175	1479	0	0	0	897	1034	298	917	0	0	1	38	0	1	1274	611	915	1	1	2	0	0	0	0	0	1	0	2	0	224	0	1	0	1	0	785	1006	1	0
Prevotellaceae Prevotella amnii	0	0	0	0	0	2	0	0	0	24	22	37	1185	175	1012	143	325	56	95	671	29	2198	1180	0	2297	197	832	380	762	0	0	0	0	0	1	0	0	0	2	1266	2099	0	0	0	0	12	0	0	0	0	0	0	178	78	45	1616	0	0	0	0	1	0	0	0	0	8	3	348	189	258	508	0	1482	86	0	0	0	1	2	0	0	0	0	0	44	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	111	44	460	308	113	1114	1603	848	0	0	1	0	0	0	3221	0	0	0	0	0	555	1133	18	71	0	0	787	57	447	0	1	288	0	0	0	0	499	1331	0	0	0	0	15	0	1642	0	3	0	2	0	1	1220	531	1300	1	1	0	2	0	0	0	0	2436	0	0	74	787	479	254	0	0	0	0	0	0	521	208	1848	1046	0	0	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1728	0	2	254	102	0	1539	390	109	3	1638	0	0	0	0	0	1	0	1	0	0	0	0	91	350	185	1	31	2	0	0	0	500	171	575	804	282	0	0	1217	482	199	3	0	0	0	0	19	45	1	3	1819	591	2	0	0	0	0	0	0	0	1239	745	7	0	0	1049	1	96	0	36	0	1	0	0	0	0	0	0	0	117	0	29	0	1016	0	2	343	518	198	0	10	0	1	0	1	1	0	1	0	0	0	29	1	73	5	0	5	0	120	4	0	0	0	0	3	1	1	1
Prevotellaceae Prevotella sp	0	0	0	0	0	0	0	0	0	77	98	296	448	1255	832	437	471	1292	778	581	2	59	20	16	1	190	499	1270	1073	0	0	0	154	22	92	29	2	0	1	78	443	0	0	0	0	37	0	0	0	5	292	189	598	381	1172	0	0	55	2	29	1	0	16	5	0	31	19	164	68	169	258	10	880	41	70	10	75	0	123	28	1	0	1	12	1181	3474	1092	1	0	1	0	1	35	0	8	0	0	0	0	0	164	19	53	89	1150	42	107	74	65	6	0	40	2683	2601	29	106	37	2	0	0	1172	2222	35	1123	0	111	430	297	1599	0	0	548	0	0	0	3	34	10	0	1	3	1	26	3	1	1	79	67	3	10	35	151	104	49	2	3	0	1	1	0	0	0	3	6	29	81	295	179	66	0	1	0	0	1	40	386	938	386	213	0	1	0	1525	0	3	0	1	0	3	0	1	0	33	17	17	145	515	138	30	1	507	0	19	65	550	134	79	108	7	92	32	133	98	40	0	1	0	0	1	1	143	626	1188	1	21	1	0	0	1	13	5	14	65	12	9	0	22	225	575	45	14	0	0	1	81	0	69	201	37	261	0	0	61	0	1	0	4	0	1424	698	62	0	1	356	1	18	50	84	0	4	515	0	0	0	0	18	0	102	1	0	0	375	1	14	994	591	155	227	0	0	1	77	42	1	0	1	9	4	152	461	53	87	30	13	5	0	57	173	1	1	1	1	11	1	5	2
Leptotrichiaceae Sneathia amnii	0	0	0	0	0	0	0	0	0	0	4	2	491	3	113	156	359	8	71	1136	18	688	70	0	648	34	294	511	362	0	0	0	52	3	15	256	383	0	0	470	280	0	0	0	0	44	1659	0	3	189	1911	987	1090	1876	18	51	0	1	0	0	1	0	5	0	0	0	4	73	5	7	20	0	56	15	1	10	8	0	1	0	0	1	1	6	4	2	12	0	0	0	0	0	0	0	1021	0	0	1	0	1	368	665	2483	1050	0	522	74	17	0	0	1	0	91	4	14	33	80	2	0	0	28	10	75	1408	0	128	5	456	19	0	0	0	0	9	18	57	96	9	0	0	1	0	387	2	1508	0	1	0	0	0	0	0	3	7	0	0	0	0	1	0	1	0	1	0	2	72	46	21	0	834	2	0	0	1	8	54	270	1334	549	0	0	0	2	1	7	0	1	0	0	0	1	1	0	2	0	15	2	0	36	0	5	0	119	2	44	36	0	476	637	29	682	466	1076	9	0	0	0	0	1	0	5	483	3	0	381	0	0	0	0	4	0	17	2	0	128	276	125	145	645	0	769	1	0	0	0	0	1	9	6	12	0	1216	4	2	0	0	0	0	42	571	9	23	0	641	0	0	0	129	0	1	0	0	0	0	2	35	0	3	1	0	0	81	1	17	15	258	5	1	1	0	1	852	347	1	1	1	61	6	385	37	802	311	29	20	0	0	64	289	0	0	0	0	0	0	0	0
Prevotellaceae Prevotella bivia	31	0	0	0	0	0	0	1	0	554	0	0	0	0	5	64	0	0	0	0	22	28	2	197	4	0	30	0	31	0	0	113	141	14	24	7	28	0	0	569	0	4	0	0	0	6	2	1	9	48	1294	540	42	73	0	2	15	212	3	76	1	0	2	3	0	41	11	5	0	0	0	10	0	99	516	163	62	0	91	950	7	0	16	443	3	0	0	2	3	0	0	2	6	1	2092	25	2	1	4	8	13	0	0	0	0	0	0	0	0	3	0	1038	0	0	243	1568	1126	2	1	641	3	0	1411	11	192	19	0	1031	5	8	0	378	2	0	0	0	1	3	0	20	8	1	1	45	0	0	28	10	20	14	32	0	0	2	7	7	1	0	2	2	0	1	2	1080	617	0	0	0	0	0	0	0	0	5	384	0	1	0	8	0	0	0	2	1	4	0	1	1	0	0	0	0	180	38	21	333	1240	2	3	2	0	0	399	18	160	25	967	3	23	39	16	0	0	54	0	0	1	0	6	2	0	2	0	0	680	0	1	1	0	1	0	1	2	0	88	13	9	20	43	0	3	0	7	5	246	0	453	0	0	1	2	26	275	2	2	0	0	0	0	0	0	0	0	0	0	0	973	12	4	3	697	13	0	10	8	389	82	0	0	0	0	0	1	138	2	266	1277	19	0	0	1	465	706	2	2	1	3	34	1787	876	2015	17	254	287	4	0	87	619	1	4	1	2	3679	1399	12	2
Coriobacteriaceae Atopobium vaginae	1022	0	1	0	0	0	0	0	0	11	86	60	44	148	3	49	27	4	27	23	23	7	42	0	51	87	33	31	15	0	759	0	418	743	286	717	139	11	0	118	89	0	0	0	0	927	0	3090	3	49	5	85	132	107	262	298	0	423	153	0	0	15	3	0	0	163	8	13	10	6	2	48	10	139	7	3	29	0	3	157	0	0	1	2	64	1	0	0	0	1	0	0	0	0	82	2199	0	0	0	0	1	5	9	0	89	146	64	61	0	0	0	36	7	57	31	0	0	0	1	0	172	190	5	17	67	735	371	41	29	1	0	136	0	155	301	1019	325	556	0	35	1	1	126	0	378	1	1	0	311	0	0	9	13	569	1	0	0	0	0	373	0	0	0	0	0	0	0	0	0	21	1	0	0	0	7	239	185	9	14	0	0	7	410	21	217	0	0	0	1	0	0	0	1	1	1	16	24	102	94	2	261	13	0	95	23	26	292	21	28	812	167	0	116	178	0	0	0	0	1	0	0	11	7	1	1325	0	0	0	0	782	297	167	158	120	239	113	9	0	229	25	0	184	81	3	1833	33	1	6	87	10	1	24	94	0	1	0	0	0	2	8	59	0	356	11	1	880	0	98	0	516	209	0	0	0	0	21	7	14	34	0	528	36	605	433	86	2	6	0	20	0	1	279	721	25	1	1	3	1	22	7	37	68	7	475	2	0	375	35	0	1	1	0	0	0	1	2
