	shannon
0001.003.1	1.38017873674
0001.003.2	0.0078379847152
0001.003.3	0.0327432012518
0001.003.4	0.00509204753718
0001.003.5	0.809354320638
0001.003.6	0.82295894811
0008.007.3	0.0847460709197
0008.007.4	0.152380229209
0008.007.5	0.65545649131
0008.007.6	2.50139647328
0018.017.3	2.31710744811
0018.017.4	2.05803368207
0018.017.5	2.72918629983
0018.017.6	2.43511059937
0021.023.5	2.74884044956
0021.023.6	3.84013122104
0021.023.7	3.08251440402
0029.043.2	2.05993558562
0029.043.3	2.99508251964
0029.043.4	3.19763811924
0032.033.1	1.99697205199
0032.033.2	2.84984251331
0032.033.4	1.94352271788
0032.033.5	2.05226619506
0032.033.6	2.84896012784
0036.028.3	2.6697941291
0036.028.4	3.74946995651
0036.028.5	3.46602220681
0036.028.6	3.78277139349
0041.030.3	0.272430335069
0041.030.4	1.48809789099
0044.034.1	1.30486550532
0044.034.2	2.71641872259
0044.034.3	2.42688872837
0044.034.4	2.69688786769
0044.034.5	3.10819317653
0047.038.3	2.06782089114
0047.038.4	0.642922410031
0047.038.5	1.56558602035
0051.064.5	3.68801888039
0051.064.6	3.14843251429
0055.051.1	0.314619814477
0055.051.2	0.957389635373
0055.051.3	0.0979192970374
0055.051.4	0.961325145077
0055.051.5	2.72811953135
0055.051.6	1.71283671358
0055.051.7	1.0407631141
0058.068.1	0.279156322814
0058.068.2	1.78467418898
0058.068.3	2.83183353213
0058.068.4	3.16028171532
0061.057.2	3.66241625262
0061.057.3	3.34067828107
0061.057.4	2.51799913791
0067.062.1	2.47198531444
0067.062.2	1.25412052434
0067.062.3	2.19032818455
0067.062.4	1.22809494251
0067.062.5	1.42953783329
0067.062.6	0.397117733457
0068.050.1	0.994858842506
0068.050.2	1.99046524721
0068.050.3	1.54856113602
0068.050.4	1.51046540517
0068.050.5	3.03602924688
0068.050.6	2.13341597065
0079.069.1	2.71875674338
0079.069.2	2.88969773838
0079.069.3	2.20356421544
0079.069.4	2.88983808698
0079.069.5	2.57944601661
0079.069.6	3.22923276336
0079.069.7	3.34958375959
0085.075.1	1.91651628612
0085.075.2	2.35574686609
0085.075.3	2.32452198319
0085.075.4	0.402406737766
0085.075.5	1.6238289433
0085.075.6	2.54932380953
0090.080.1	0.326161494415
0090.080.2	0.0553332745899
0090.080.3	0.482729170044
0090.080.4	2.69178054729
0090.080.5	1.65024351414
0090.080.6	1.44526989187
0090.080.7	2.70819544965
0094.086.1	0.813123314409
0094.086.2	0.127774671145
0094.086.3	0.383532341711
0094.086.5	0.632224219532
0094.086.6	0.0472338254765
0094.086.7	2.73558249367
0094.086.8	0.0464838443291
0095.084.2	2.50061712917
0095.084.3	1.28423914366
0098.098.1	0.0328941787523
0098.098.2	0.517984808263
0098.098.3	3.07630018108
0098.098.4	1.45613179635
0100.083.1	2.63615275736
0100.083.2	3.73022634432
0100.083.3	2.96139838621
0100.083.4	3.01242192753
0101.088.1	3.42037712588
0101.088.2	2.88872923783
0101.088.3	2.78002369716
0101.088.4	2.90491279508
0101.088.5	1.79594977163
0101.088.6	0.762402776663
0106.082.2	0.0424511538897
0106.082.3	2.34667040604
0121.101.1	1.92078666432
0121.101.2	1.97250636858
0121.101.3	2.04371268885
