OTU	Test-Statistic	P	FDR_P	Bonferroni_P	True_mean	False_mean
Veillonellaceae gen sp	-2.71005885011	0.00699300699301	0.944055944056	1.0	0.056	0.300970873786
Succinivibrionaceae Succinivibrio sp	-2.43656807849	0.00799200799201	0.944055944056	1.0	0.008	0.252427184466
Unclassified Saccharibacteria genomosp_TM7-H1	-2.2758974731	0.012987012987	0.944055944056	1.0	0.192	0.679611650485
Prevotellaceae Prevotella amnii	-2.77958547983	0.013986013986	0.944055944056	1.0	126.0	283.669902913
Bacillales_Incertae_Sedis_XI Gemella sp	-1.89280111026	0.024975024975	0.963075386152	1.0	0.16	2.7572815534
Microbacteriaceae Pseudoclavibacter sp	2.01082704258	0.026973026973	0.963075386152	1.0	0.16	0.0
Veillonellaceae Veillonella dispar	-1.59403784603	0.037962037962	0.963075386152	1.0	0.0	0.660194174757
Lactobacillaceae Lactobacillus iners	1.98585875929	0.038961038961	0.963075386152	1.0	1803.36	1292.31067961
Corynebacteriaceae Corynebacterium jeikeium	1.88995515045	0.042957042957	0.963075386152	1.0	1.432	0.126213592233
Prevotellaceae Prevotella stercorea	-1.56520833089	0.0539460539461	0.963075386152	1.0	0.056	0.834951456311
Veillonellaceae Megasphaera sp_DNF00751	-1.96536583194	0.0549450549451	0.963075386152	1.0	171.72	276.54368932
Peptoniphilaceae Peptoniphilus lacrimalis	1.73264980367	0.0589410589411	0.963075386152	1.0	2.936	1.20388349515
Leptotrichiaceae Sneathia sanguinegens	-1.76643938041	0.0599400599401	0.963075386152	1.0	12.648	29.0970873786
Actinomycetaceae Schaalia turicensis	-1.57105927904	0.0609390609391	0.963075386152	1.0	0.096	0.582524271845
Xanthomonadaceae Luteimonas sp	1.92441881228	0.0619380619381	0.963075386152	1.0	0.104	0.00970873786408
Lachnospiraceae Roseburia inulinivorans	-1.81469460577	0.0639360639361	0.963075386152	1.0	0.0	0.0388349514563
Prevotellaceae Alloprevotella rava	-1.10215256751	0.0669330669331	0.963075386152	1.0	0.0	5.15533980583
Veillonellaceae Megasphaera sp	-1.78840121728	0.0709290709291	0.963075386152	1.0	3.736	7.00970873786
Fastidiosipilaceae BVAB2 BVAB2	1.73799687363	0.0789210789211	0.963075386152	1.0	17.864	9.68932038835
Porphyromonadaceae Porphyromonas sp	1.50170299429	0.0839160839161	0.963075386152	1.0	1.032	0.174757281553
Brevibacteriaceae Brevibacterium sp	1.68412354533	0.0979020979021	0.963075386152	1.0	0.704	0.145631067961
Corynebacteriaceae Corynebacterium genitalium	1.44471835602	0.100899100899	0.963075386152	1.0	1.056	0.00970873786408
Veillonellaceae Megasphaera stantonii	-1.10215256751	0.12987012987	0.963075386152	1.0	0.0	0.252427184466
Enterococcaceae Enterococcus sp	-1.50990503048	0.132867132867	0.963075386152	1.0	0.08	0.349514563107
Enterobacteriaceae Enterobacter sp	-1.12763859159	0.134865134865	0.963075386152	1.0	0.008	0.941747572816
Veillonellaceae Megasphaera elsdenii	-1.17773605564	0.137862137862	0.963075386152	1.0	0.024	3.93203883495
Aerococcaceae Aerococcus sp	-1.54135501738	0.154845154845	0.963075386152	1.0	0.264	0.73786407767
Porphyromonadaceae Porphyromonas asaccharolytica	-1.3344226581	0.163836163836	0.963075386152	1.0	0.8	1.93203883495
Sutterellaceae Duodenibacillus massiliensis	-1.36050208969	0.165834165834	0.963075386152	1.0	0.008	0.126213592233
Lachnospiraceae Enterocloster sp	-1.31773616607	0.172827172827	0.963075386152	1.0	0.0	0.106796116505
Lachnospiraceae Anaerostipes hadrus	-1.39824352351	0.172827172827	0.963075386152	1.0	0.0	0.0388349514563
Clostridiaceae_1 Clostridium colicanis	-1.16947061721	0.178821178821	0.963075386152	1.0	0.0	0.165048543689
Microbacteriaceae Pseudoclavibacter faecalis	1.29362591108	0.180819180819	0.963075386152	1.0	0.064	0.00970873786408
Desulfovibrionaceae Bilophila wadsworthia	-1.10866330844	0.181818181818	0.963075386152	1.0	0.016	0.572815533981
Ruminococcaceae Flavonifractor plautii	-1.18432564013	0.183816183816	0.963075386152	1.0	0.0	0.135922330097
Acidaminococcaceae Succiniclasticum sp	-1.38334330348	0.185814185814	0.963075386152	1.0	0.024	0.233009708738
