OTU	Test-Statistic	P	FDR_P	Bonferroni_P	3_willreturn_mean	3_wontreturn_mean
Streptococcaceae Streptococcus sp	1.87636198037	0.013986013986	1.0	1.0	32.6774193548	0.6
Prevotellaceae Prevotella amnii	-2.11925678794	0.025974025974	1.0	1.0	136.096774194	355.766666667
Prevotellaceae Prevotella sp	-1.98077643474	0.043956043956	1.0	1.0	64.9032258065	168.133333333
Fastidiosipilaceae BVAB2 BVAB2	2.06538255117	0.0519480519481	1.0	1.0	43.3225806452	15.9333333333
Unclassified Saccharibacteria genomosp_TM7-H1	-1.83458362519	0.0559440559441	1.0	1.0	0.0645161290323	0.933333333333
Mycoplasmataceae Ureaplasma sp	1.06206378597	0.0609390609391	1.0	1.0	18.5161290323	0.166666666667
Peptococcaceae Peptococcus sp	-1.67659270986	0.0749250749251	1.0	1.0	0.0	0.2
Veillonellaceae Megasphaera sp_DNF00751	-1.89096484868	0.0759240759241	1.0	1.0	237.935483871	432.933333333
Veillonellaceae gen sp	-1.66126841538	0.0939060939061	1.0	1.0	0.161290322581	0.566666666667
Prevotellaceae Massiliprevotella massiliensis	-1.71033035056	0.0969030969031	1.0	1.0	0.0	0.133333333333
Actinomycetaceae Schaalia turicensis	-1.43233244048	0.0969030969031	1.0	1.0	0.0322580645161	1.63333333333
Lachnospiraceae Candidatus_Lachnocurva vaginae_(BVAB1)	-1.65533690758	0.102897102897	1.0	1.0	73.5806451613	218.7
Leptotrichiaceae Sneathia sanguinegens	-1.49136234676	0.117882117882	1.0	1.0	13.2580645161	30.8666666667
Corynebacteriaceae Corynebacterium tuscaniense	-1.32567711955	0.120879120879	1.0	1.0	0.0322580645161	0.433333333333
Peptoniphilaceae Anaerococcus lactolyticus	-1.0633512838	0.123876123876	1.0	1.0	0.161290322581	8.06666666667
Veillonellaceae Megasphaera sp_KA00182	1.49510921705	0.134865134865	1.0	1.0	69.5161290323	20.8666666667
Shewanellaceae Shewanella sp	1.34324937431	0.138861138861	1.0	1.0	0.225806451613	0.0
Prevotellaceae Prevotella stercorea	-1.29969891546	0.142857142857	1.0	1.0	0.0	0.133333333333
Ruminococcaceae gen sp	-1.29969891546	0.158841158841	1.0	1.0	0.0	0.133333333333
Lactobacillaceae Lactobacillus non_iners	1.49061735677	0.15984015984	1.0	1.0	92.4193548387	27.8666666667
Streptococcaceae Streptococcus agalactiae	1.23095988356	0.160839160839	1.0	1.0	26.3225806452	0.1
Staphylococcaceae Staphylococcus sp	1.47600560598	0.161838161838	1.0	1.0	2.35483870968	0.366666666667
Bacteroidaceae Bacteroides fragilis	-1.38341867382	0.168831168831	1.0	1.0	0.0	0.1
Leptotrichiaceae Sneathia sp	-1.43125823038	0.180819180819	1.0	1.0	1.06451612903	4.23333333333
Peptoniphilaceae Anaerococcus sp	1.34513760929	0.187812187812	1.0	1.0	20.064516129	7.03333333333
Pasteurellaceae Haemophilus sp	1.16582832533	0.188811188811	1.0	1.0	1.38709677419	0.0
Bifidobacteriaceae Gardnerella	1.40939206074	0.194805194805	1.0	1.0	2690.74193548	2350.76666667
Actinomycetaceae Arcanobacterium sp	-1.14221195925	0.194805194805	1.0	1.0	1.25806451613	6.9
