OTU	Test-Statistic	P	FDR_P	Bonferroni_P	4_wontreturn_mean	4_willreturn_mean
Prevotellaceae Prevotella melaninogenica	1.24975266894	0.003996003996	0.986442129299	1.0	20.2121212121	0.0
Peptococcaceae Peptococcus sp	-2.34143489581	0.016983016983	0.986442129299	1.0	0.181818181818	1.83333333333
Clostridiales_Incertae_Sedis_XIII Congobacterium massiliense	1.16186628271	0.016983016983	0.986442129299	1.0	0.606060606061	0.0
Prevotellaceae Prevotella stercorea	1.5454306343	0.018981018981	0.986442129299	1.0	2.48484848485	0.0
Coriobacteriaceae Atopobium sp	-2.36938827734	0.024975024975	0.986442129299	1.0	12.6363636364	28.8055555556
Actinomycetaceae Mobiluncus sp	-1.68840008356	0.038961038961	0.986442129299	1.0	0.484848484848	3.58333333333
Veillonellaceae Dialister sp	-1.98078391721	0.044955044955	0.986442129299	1.0	3.63636363636	6.75
Porphyromonadaceae Porphyromonas sp_KA00251	-1.42579561964	0.046953046953	0.986442129299	1.0	0.333333333333	2.55555555556
Prevotellaceae Prevotella copri	1.40796792201	0.047952047952	0.986442129299	1.0	9.9696969697	0.0
Spirochaetaceae Treponema sp	1.42011351942	0.04995004995	0.986442129299	1.0	0.0909090909091	0.0
Bifidobacteriaceae Bifidobacterium sp	1.80130853674	0.0539460539461	0.986442129299	1.0	4.66666666667	0.0555555555556
Mycoplasmataceae Mycoplasma spermatophilum	1.3617281965	0.0639360639361	0.986442129299	1.0	0.484848484848	0.0
Actinomycetaceae Mobiluncus mulieris	-1.84086063578	0.0699300699301	0.986442129299	1.0	142.757575758	385.527777778
Peptoniphilaceae Peptoniphilus lacrimalis	-1.62892876953	0.0739260739261	0.986442129299	1.0	2.42424242424	7.27777777778
Prevotellaceae Metaprevotella massiliensis	1.55434922154	0.0739260739261	0.986442129299	1.0	0.242424242424	0.0
Peptostreptococcaceae Peptostreptococcus anaerobius	-1.72140781342	0.0819180819181	0.986442129299	1.0	16.0303030303	61.8055555556
Prevotellaceae Prevotella brunnea	1.1581822391	0.0879120879121	0.986442129299	1.0	0.30303030303	0.0
Porphyromonadaceae Porphyromonas asaccharolytica	1.48962437796	0.0889110889111	0.986442129299	1.0	4.24242424242	0.5
Prevotellaceae Prevotella amnii	1.68929924471	0.0899100899101	0.986442129299	1.0	559.666666667	319.666666667
Desulfovibrionaceae Bilophila wadsworthia	1.08271276567	0.0899100899101	0.986442129299	1.0	1.78787878788	0.0
Corynebacteriaceae Corynebacterium pyruviciproducens	1.55434922154	0.0899100899101	0.986442129299	1.0	0.242424242424	0.0
Lachnospiraceae Blautia sp	1.34127968722	0.0929070929071	0.986442129299	1.0	1.15151515152	0.0
Prevotellaceae Prevotella bergensis	1.67600901286	0.0949050949051	0.986442129299	1.0	0.272727272727	0.0
Lachnospiraceae Candidatus_Lachnocurva vaginae_(BVAB1)	-1.75023590032	0.104895104895	0.986442129299	1.0	664.424242424	1030.63888889
Prevotellaceae Prevotella corporis	1.45958708848	0.111888111888	0.986442129299	1.0	11.6666666667	0.75
Succinivibrionaceae Succinivibrio sp	1.70298382416	0.114885114885	0.986442129299	1.0	0.454545454545	0.0
Bifidobacteriaceae Bifidobacterium bifidum	1.26104067032	0.116883116883	0.986442129299	1.0	0.848484848485	0.0
Actinomycetaceae Mobiluncus curtisii	1.39475540498	0.123876123876	0.986442129299	1.0	13.3333333333	2.16666666667
Porphyromonadaceae Porphyromonas bennonis	1.58742993695	0.126873126873	0.986442129299	1.0	0.363636363636	0.111111111111
Veillonellaceae gen sp	1.6237889436	0.133866133866	0.986442129299	1.0	0.363636363636	0.0555555555556
Ruminococcaceae gen sp	1.09132672887	0.148851148851	0.986442129299	1.0	2.33333333333	0.0555555555556
Prevotellaceae Prevotella intermedia	-1.16317554267	0.154845154845	0.986442129299	1.0	0.454545454545	9.47222222222
Lactobacillaceae Lactobacillus iners	1.47054221006	0.15984015984	0.986442129299	1.0	252.515151515	126.5
Peptostreptococcaceae Romboutsia sp	1.33462505509	0.171828171828	0.986442129299	1.0	0.121212121212	0.0
Erysipelotrichaceae Bulleidia sp	-1.47715263372	0.183816183816	0.986442129299	1.0	0.454545454545	0.888888888889
Bifidobacteriaceae gen sp	-1.35573115115	0.188811188811	0.986442129299	1.0	0.272727272727	0.805555555556
Lachnospiraceae Moryella sp	1.41630297875	0.18981018981	0.986442129299	1.0	8.30303030303	2.0
Ruminococcaceae Oscillibacter sp	1.06371519614	0.192807192807	0.986442129299	1.0	7.30303030303	0.0277777777778
Clostridiales_Incertae_Sedis_XI Fenollaria massiliensis	1.13965848535	0.195804195804	0.986442129299	1.0	4.90909090909	0.75
Tissierellia_incertae_sedis Ezakiella sp	1.45182933404	0.196803196803	0.986442129299	1.0	1.27272727273	0.277777777778
Peptoniphilaceae Murdochiella sp	1.18768836465	0.196803196803	0.986442129299	1.0	0.242424242424	0.0
Corynebacteriaceae Corynebacterium pseudogenitalium	1.25495795772	0.198801198801	0.986442129299	1.0	0.151515151515	0.0277777777778
Enterobacteriaceae Escherichia/Shigella sp	1.04670636865	0.201798201798	0.986442129299	1.0	85.3939393939	0.0
Peptoniphilaceae Parvimonas sp_KA00581	-1.3594654948	0.205794205794	0.986442129299	1.0	6.09090909091	10.7222222222
Prevotellaceae Massiliprevotella massiliensis	1.0510195208	0.20979020979	0.986442129299	1.0	18.0303030303	0.0555555555556
Lachnospiraceae Syntrophococcus sp	-1.41628383637	0.214785214785	0.986442129299	1.0	0.0606060606061	0.25
Lachnospiraceae Blautia obeum	1.04517525054	0.21978021978	0.986442129299	1.0	0.424242424242	0.0
Clostridiales_Incertae_Sedis_XIII Casaltella massiliensis	1.50175213236	0.223776223776	0.986442129299	1.0	0.121212121212	0.0
Shewanellaceae Shewanella sp	1.50175213236	0.223776223776	0.986442129299	1.0	0.0606060606061	0.0
Lachnospiraceae Dorea formicigenerans	1.17125583997	0.225774225774	0.986442129299	1.0	0.272727272727	0.0
Corynebacteriaceae Corynebacterium aurimucosum	1.15607674624	0.226773226773	0.986442129299	1.0	0.666666666667	0.0277777777778
Streptococcaceae Streptococcus agalactiae	-1.17000079538	0.228771228771	0.986442129299	1.0	0.0	0.583333333333
Corynebacteriaceae Corynebacterium riegelii	1.3734701402	0.228771228771	0.986442129299	1.0	0.212121212121	0.0
Actinomycetaceae gen sp	-1.63683248696	0.230769230769	0.986442129299	1.0	0.0	0.138888888889
Erysipelotrichaceae Catenibacterium mitsuokai	1.42011351942	0.231768231768	0.986442129299	1.0	0.0909090909091	0.0
Prevotellaceae Alloprevotella rava	1.04517525054	0.236763236763	0.986442129299	1.0	16.0909090909	0.0
Aerococcaceae Aerococcus sp	1.31276518951	0.237762237762	0.986442129299	1.0	0.393939393939	0.0
Ruminococcaceae Gemmiger sp	1.04517525054	0.251748251748	0.986442129299	1.0	0.212121212121	0.0
Prevotellaceae Prevotella sp	-1.20639279608	0.260739260739	0.986442129299	1.0	352.818181818	552.361111111
Peptococcaceae Peptococcus niger	1.22223177888	0.265734265734	0.986442129299	1.0	3.81818181818	1.08333333333
Mycoplasmataceae Ureaplasma sp	1.30119162084	0.278721278721	0.986442129299	1.0	0.666666666667	0.166666666667
Peptostreptococcaceae Peptostreptococcus sp	-1.24229255008	0.282717282717	0.986442129299	1.0	0.333333333333	1.25
Peptoniphilaceae Anaerococcus lactolyticus	-1.11636176222	0.284715284715	0.986442129299	1.0	0.242424242424	1.38888888889
Veillonellaceae Megasphaera sp	1.10307369149	0.288711288711	0.986442129299	1.0	8.54545454545	5.16666666667
Porphyromonadaceae Porphyromonas sp	-1.20672315899	0.294705294705	0.986442129299	1.0	0.151515151515	2.27777777778
Unclassified Saccharibacteria genomosp_TM7-H1	1.13694940327	0.294705294705	0.986442129299	1.0	1.0303030303	0.472222222222
Coriobacteriaceae Atopobium vaginae	1.1488689598	0.2997002997	0.986442129299	1.0	158.424242424	78.5277777778
Fastidiosipilaceae BVAB2 BVAB2	-1.06415539554	0.2997002997	0.986442129299	1.0	15.2121212121	24.0277777778
Veillonellaceae Dialister propionicifaciens	1.14295503226	0.308691308691	0.986442129299	1.0	0.30303030303	0.111111111111
Lachnospiraceae Clostridiales sp_DNF00545	-1.09844133322	0.30969030969	0.986442129299	1.0	0.69696969697	1.19444444444
Fusobacteriaceae Fusobacterium equinum	1.34413836697	0.314685314685	0.986442129299	1.0	18.2424242424	3.16666666667
Campylobacteraceae Campylobacter sp	-1.07826676663	0.337662337662	0.986442129299	1.0	0.757575757576	4.30555555556
Neisseriaceae Neisseria sp	1.12852395684	0.340659340659	0.986442129299	1.0	0.818181818182	0.0555555555556
Peptostreptococcaceae Criibacterium bergeronii	1.07627281456	0.347652347652	0.986442129299	1.0	0.181818181818	0.0833333333333
Prevotellaceae Prevotella colorans	0.910219388901	0.354645354645	0.986442129299	1.0	2.66666666667	1.58333333333
Leptotrichiaceae Sneathia sanguinegens	1.07506864562	0.361638361638	0.986442129299	1.0	61.4848484848	31.5833333333
Fusobacteriaceae Fusobacterium nucleatum	-0.979775690279	0.361638361638	0.986442129299	1.0	2.0	4.22222222222
Prevotellaceae Prevotella sp_S7-1-8	-1.01131725575	0.363636363636	0.986442129299	1.0	74.6363636364	134.277777778
Prevotellaceae Prevotella timonensis	-0.944039208205	0.378621378621	0.986442129299	1.0	81.8181818182	148.611111111
Peptoniphilaceae Peptoniphilus sp	-0.859858076804	0.394605394605	0.986442129299	1.0	4.84848484848	7.05555555556
Peptoniphilaceae Finegoldia magna	-0.804576283002	0.394605394605	0.986442129299	1.0	0.181818181818	0.333333333333
Actinomycetaceae Actinomyces hongkongensis	-0.930770387571	0.397602397602	0.986442129299	1.0	1.27272727273	1.97222222222
Peptoniphilaceae Peptoniphilus duerdenii	0.977572743652	0.398601398601	0.986442129299	1.0	0.333333333333	0.138888888889
Bifidobacteriaceae Gardnerella	0.8542506447	0.410589410589	0.986442129299	1.0	626.0	534.194444444
Prevotellaceae Prevotella sp_DNF00663	1.01125305873	0.415584415584	0.986442129299	1.0	84.5454545455	8.88888888889
Staphylococcaceae Staphylococcus sp	-1.14807572204	0.420579420579	0.986442129299	1.0	0.0606060606061	0.722222222222
Neisseriaceae Neisseria gonorrhoeae	-1.29865270794	0.443556443556	0.986442129299	1.0	0.0	0.166666666667
Lactobacillaceae Lactobacillus non_iners	0.950756156106	0.451548451548	0.986442129299	1.0	89.9090909091	24.3888888889
